DAuid,DApop_2016,DAtdwell_2016,DAurdwell_2016,DAarea,CSDcode
35061472,386,161,144,18.594,008
35061473,582,215,210,28.9634,008
35061474,753,220,212,15.3946,008
35061475,856,279,272,5.008,008
35061476,720,303,279,5.3415,008
35061477,452,155,150,23.8865,008
35061478,539,196,188,22.3846,008
35061479,444,188,181,22.1263,008
35061480,460,186,180,22.7142,008
35061481,581,241,239,12.2549,008
35061482,593,222,211,42.1629,008
35061483,597,262,244,20.2306,008
35061484,8865,2785,2698,17.3464,008
35061486,691,214,211,4.3164,008
35061487,913,436,424,1.0817,008
35061488,468,200,197,0.0994,008
35061493,2579,947,911,0.4985,008
35061494,574,170,169,0.1521,008
35061495,679,214,212,0.0826,008
35061496,2039,889,873,22.3988,008
35061497,516,178,178,10.2077,008
35061498,589,211,211,15.5221,008
35061499,487,173,172,18.094,008
35061500,604,202,201,30.6455,008
35061501,556,208,205,40.6618,008
35061502,785,272,268,23.155,008
35061503,642,214,214,26.4913,008
35061504,555,209,206,33.3051,008
35061505,445,163,159,17.3402,008
35061506,509,184,182,13.239,008
35061507,437,164,160,20.4746,008
35061508,427,227,179,12.6333,008
35061509,258,174,162,0.0165,008
35061510,742,337,316,0.0227,008
35061511,336,109,101,0.1669,008
35061512,536,315,263,0.1755,008
35061514,1804,1189,909,0.2732,008
35061518,380,217,196,0.0591,008
35061519,563,282,247,0.1106,008
35061520,1540,454,437,1.7018,008
35061521,434,128,124,0.0881,008
35061522,1198,379,373,0.3066,008
35061523,296,112,111,0.0418,008
35061524,1485,543,537,0.2901,008
35061525,537,211,210,0.1833,008
35061526,494,195,192,0.0887,008
35061530,1324,755,686,0.0639,008
35061531,939,384,354,0.6612,008
35061533,811,317,305,0.2248,008
35061534,1833,919,887,0.1072,008
35061535,527,134,134,0.046,008
35061536,924,289,280,1.081,008
35061537,241,76,71,0.0233,008
35061538,591,202,198,0.1664,008
35061539,544,199,197,0.1714,008
35061540,803,256,256,0.2311,008
35061541,739,309,305,0.3699,008
35061542,1052,400,398,0.2705,008
35061543,664,203,203,0.4103,008
35061544,1323,537,533,0.5344,008
35061545,443,192,191,0.1521,008
35061546,1417,439,437,0.2175,008
35061547,1790,720,711,0.5824,008
35061548,1339,588,558,0.2989,008
35061549,633,228,219,0.1057,008
35061550,489,314,289,0.1267,008
35061551,699,265,261,0.0862,008
35061552,728,293,288,0.2935,008
35061553,1015,454,445,0.8472,008
35061554,661,253,252,2.6253,008
35061555,1716,478,474,0.7224,008
35061556,3445,1141,1087,2.7823,008
35061557,469,185,181,0.1634,008
35061558,1299,439,431,0.2311,008
35061559,494,124,122,0.473,008
35061560,497,145,140,0.214,008
35061561,899,287,284,0.1379,008
35061562,1108,440,420,0.2057,008
35061563,532,170,170,0.0852,008
35061564,1125,384,374,0.1784,008
35061565,701,322,299,0.1023,008
35061566,1189,572,527,0.2657,008
35061567,686,224,223,0.4367,008
35061568,3679,1099,1083,5.1359,008
35061569,828,239,236,0.1852,008
35061570,363,100,100,0.1103,008
35061571,733,305,303,0.2121,008
35061572,2369,808,796,5.5211,008
35061573,590,205,201,0.1865,008
35061574,897,400,377,0.1586,008
35061575,743,278,275,0.2616,008
35061576,548,190,187,0.398,008
35061577,555,189,189,0.4146,008
35061578,1513,1125,802,1.0946,008
35061579,1039,556,539,0.1828,008
35061580,782,298,292,0.1585,008
35061581,692,223,222,0.2826,008
35061582,980,376,369,0.6683,008
35061583,927,311,310,0.4544,008
35061584,970,346,327,1.3202,008
35061585,560,149,147,0.1691,008
35061586,524,206,206,0.1596,008
35061587,991,382,381,0.4388,008
35061588,959,326,323,0.3617,008
35061589,960,319,317,0.2183,008
35061590,498,141,139,0.1174,008
35061591,1830,596,594,0.3444,008
35061592,1345,437,436,0.2312,008
35061593,1783,692,653,0.4714,008
35061595,439,155,154,0.1356,008
35061596,611,187,186,0.1096,008
35061597,543,134,134,0.0755,008
35061598,269,68,67,0.0422,008
